ref_name,raw_name,cigar,origin,aligner,dseq,dpos,ref_omega,aln_omega,ref_score,score
ENSG00000004779.fasta,ENSG00000134249.fasta,68M3I2305M,mafft,tri-mg,0,0,0,0,636.161,636.161
ENSG00000004779.fasta,ENSG00000134249.fasta,68M3I2305M,mafft,prank,0.00317460317460317,0.00529100529100529,0,0,636.161,630.146
ENSG00000004779.fasta,ENSG00000134249.fasta,68M3I2305M,mafft,mafft,0,0,0,0,636.161,636.161
ENSG00000004779.fasta,ENSG00000134249.fasta,68M3I2305M,mafft,clustalo,0.00317460317460317,0.00529100529100529,0,0.127307671460277,636.161,629.957
ENSG00000004779.fasta,ENSG00000134249.fasta,68M3I2305M,mafft,macse,0.00317460317460317,0.00529100529100529,0,0,636.161,630.146
ENSG00000004779.fasta,ENSG00000134249.fasta,68M3I2305M,mafft,gor-ref,0,0,0,0,636.161,636.161
ENSG00000000003.fasta,ENSG00000164074.fasta,699M102D546M48D,macse,tri-mg,0,0,0,0,750.237,750.237
ENSG00000000003.fasta,ENSG00000164074.fasta,699M102D546M48D,macse,prank,0,0,0,0,750.237,750.237
ENSG00000000003.fasta,ENSG00000164074.fasta,699M102D546M48D,macse,mafft,0,0,0,0,750.237,750.237
ENSG00000000003.fasta,ENSG00000164074.fasta,699M102D546M48D,macse,clustalo,0,0,0,0,750.237,750.237
ENSG00000000003.fasta,ENSG00000164074.fasta,699M102D546M48D,macse,macse,0,0,0,0,750.237,750.237
ENSG00000000003.fasta,ENSG00000164074.fasta,699M102D546M48D,macse,gor-ref,0,0,0,0,750.237,750.237
ENSG00000003436.fasta,ENSG00000114988.fasta,505M33I542M,clustalo,tri-mg,0.00161030595813205,0.0187869028448739,0.39637681407762,0.39637681407762,1207.44,1207.44
ENSG00000003436.fasta,ENSG00000114988.fasta,505M33I542M,clustalo,prank,0.00161030595813205,0.0187869028448739,0.39637681407762,0.39637681407762,1207.44,1207.44
ENSG00000003436.fasta,ENSG00000114988.fasta,505M33I542M,clustalo,mafft,0.00161030595813205,0.0187869028448739,0.39637681407762,0.39637681407762,1207.44,1207.44
ENSG00000003436.fasta,ENSG00000114988.fasta,505M33I542M,clustalo,clustalo,0.00161030595813205,0.0187869028448739,0.39637681407762,0.39637681407762,1207.44,1207.44
ENSG00000003436.fasta,ENSG00000114988.fasta,505M33I542M,clustalo,macse,0.00161030595813205,0.0187869028448739,0.39637681407762,0.39637681407762,1207.44,1207.44
ENSG00000003436.fasta,ENSG00000114988.fasta,505M33I542M,clustalo,gor-ref,0.00161030595813205,0.0187869028448739,0.39637681407762,0.39637681407762,1207.44,1207.44
ENSG00000002933.fasta,ENSG00000158089.fasta,129M24D18M6D24M6I30M9D39M3I3M18I9M3I6M24I1362M,macse,tri-mg,0.00628930817610063,0.0146750524109015,0.44158855034825,0.442527474350051,815.24,815.24
ENSG00000002933.fasta,ENSG00000158089.fasta,129M24D18M6D24M6I30M9D39M3I3M18I9M3I6M24I1362M,macse,prank,0.00628930817610063,0.00628930817610063,0.44158855034825,0.44158855034825,815.24,815.24
ENSG00000002933.fasta,ENSG00000158089.fasta,129M24D18M6D24M6I30M9D39M3I3M18I9M3I6M24I1362M,macse,mafft,0.023759608665269,0.0391334730957372,0.44158855034825,0.401424211946638,815.24,802.63
ENSG00000002933.fasta,ENSG00000158089.fasta,129M24D18M6D24M6I30M9D39M3I3M18I9M3I6M24I1362M,macse,clustalo,0.192872117400419,0.20335429769392,0.44158855034825,0.745804092090798,815.24,400.621
ENSG00000002933.fasta,ENSG00000158089.fasta,129M24D18M6D24M6I30M9D39M3I3M18I9M3I6M24I1362M,macse,macse,0.0356394129979036,0.0461215932914046,0.44158855034825,0.446753411203571,815.24,782.2
ENSG00000002933.fasta,ENSG00000158089.fasta,129M24D18M6D24M6I30M9D39M3I3M18I9M3I6M24I1362M,macse,gor-ref,0.00838574423480084,0.0244584206848358,0.44158855034825,0.44158855034825,815.24,815.24
ENSG00000005022.fasta,ENSG00000187609.fasta,1493M336D802M,tri-mg,tri-mg,0,0,0.207051218315846,0.207051218315846,702.922,702.922
ENSG00000005022.fasta,ENSG00000187609.fasta,1493M336D802M,tri-mg,prank,0.00205761316872428,0.231824417009602,0.207051218315846,0.206790979558706,702.922,702.924
