filename,aligner,dseq
ENSG00000000003.fasta,tri-ecm,0.00276898734177215
ENSG00000000003.fasta,clustalo,0.000395569620253165
ENSG00000000003.fasta,macse,0.000395569620253165
ENSG00000000003.fasta,mafft,0.000395569620253165
ENSG00000000003.fasta,prank,0.000395569620253165
ENSG00000000005.fasta,tri-ecm,0.00024975024975025
ENSG00000000005.fasta,clustalo,0.00024975024975025
ENSG00000000005.fasta,macse,0.00024975024975025
ENSG00000000005.fasta,mafft,0.00024975024975025
ENSG00000000005.fasta,prank,0.00024975024975025
ENSG00000000460.fasta,tri-ecm,9.64320154291225e-05
ENSG00000000460.fasta,clustalo,9.64320154291225e-05
ENSG00000000460.fasta,macse,9.64320154291225e-05
ENSG00000000460.fasta,mafft,9.64320154291225e-05
ENSG00000000460.fasta,prank,9.64320154291225e-05
ENSG00000000938.fasta,tri-ecm,0.000159286396941701
ENSG00000000938.fasta,clustalo,0.000159286396941701
ENSG00000000938.fasta,macse,0.000159286396941701
ENSG00000000938.fasta,mafft,0.000159286396941701
ENSG00000000938.fasta,prank,0.000159286396941701
ENSG00000001084.fasta,tri-ecm,0.000131302521008403
ENSG00000001084.fasta,clustalo,0.00853466386554622
ENSG00000001084.fasta,macse,0.0103728991596639
ENSG00000001084.fasta,mafft,0.00853466386554622
ENSG00000001084.fasta,prank,0.00617121848739496
ENSG00000001460.fasta,tri-ecm,0.000229779411764706
ENSG00000001460.fasta,clustalo,0.000229779411764706
ENSG00000001460.fasta,macse,0.000229779411764706
ENSG00000001460.fasta,mafft,0.000229779411764706
ENSG00000001460.fasta,prank,0.000229779411764706
ENSG00000001561.fasta,tri-ecm,0.000179920834832674
ENSG00000001561.fasta,clustalo,0.000179920834832674
ENSG00000001561.fasta,macse,0.00125944584382872
ENSG00000001561.fasta,mafft,0.000179920834832674
ENSG00000001561.fasta,prank,0.00125944584382872
ENSG00000001617.fasta,tri-ecm,0.000723589001447178
ENSG00000001617.fasta,clustalo,0.00237750671904073
ENSG00000001617.fasta,macse,0.00279098614843912
ENSG00000001617.fasta,mafft,0.00217076700434153
ENSG00000001617.fasta,prank,0.00279098614843912
ENSG00000001630.fasta,tri-ecm,0.000160051216389245
ENSG00000001630.fasta,clustalo,0.000160051216389245
ENSG00000001630.fasta,macse,0.000160051216389245
ENSG00000001630.fasta,mafft,0.000160051216389245
ENSG00000001630.fasta,prank,0.000160051216389245
ENSG00000001631.fasta,tri-ecm,9.08100254268071e-05
ENSG00000001631.fasta,clustalo,0.00281511078823102
ENSG00000001631.fasta,macse,0.00063567017798765
ENSG00000001631.fasta,mafft,9.08100254268071e-05
ENSG00000001631.fasta,prank,0.00063567017798765
ENSG00000002016.fasta,tri-ecm,0.00135764158262219
ENSG00000002016.fasta,clustalo,0.00252133436772692
ENSG00000002016.fasta,macse,0.000193948797517455
ENSG00000002016.fasta,mafft,0.00135764158262219
ENSG00000002016.fasta,prank,0.000193948797517455
ENSG00000002330.fasta,tri-ecm,0.00045004500450045
ENSG00000002330.fasta,clustalo,0.0193519351935194
ENSG00000002330.fasta,macse,0.00585058505850585
ENSG00000002330.fasta,mafft,0.00315031503150315
ENSG00000002330.fasta,prank,0.00315031503150315
ENSG00000002549.fasta,tri-ecm,0.00382848392036753
ENSG00000002549.fasta,clustalo,0.0424196018376723
ENSG00000002549.fasta,macse,0.0424196018376723
ENSG00000002549.fasta,mafft,0.0424196018376723
ENSG00000002549.fasta,prank,0.00382848392036753
ENSG00000002587.fasta,tri-ecm,0.00557029177718833
ENSG00000002587.fasta,clustalo,0.0183023872679045
ENSG00000002587.fasta,macse,0.0108753315649867
ENSG00000002587.fasta,mafft,0.0183023872679045
ENSG00000002587.fasta,prank,0.00663129973474801
ENSG00000002745.fasta,tri-ecm,0.00662414131501472
ENSG00000002745.fasta,clustalo,0.0576545632973503
ENSG00000002745.fasta,macse,0.0311579980372915
ENSG00000002745.fasta,mafft,0.0370461236506379
ENSG00000002745.fasta,prank,0.00466143277723258
ENSG00000002834.fasta,tri-ecm,0.00037593984962406
ENSG00000002834.fasta,clustalo,0.00037593984962406
ENSG00000002834.fasta,macse,0.00037593984962406
ENSG00000002834.fasta,mafft,0.00037593984962406
ENSG00000002834.fasta,prank,0.00037593984962406
ENSG00000002933.fasta,tri-ecm,0.00246478873239437
ENSG00000002933.fasta,clustalo,0.00246478873239437
ENSG00000002933.fasta,macse,0.00246478873239437
ENSG00000002933.fasta,mafft,0.000352112676056338
ENSG00000002933.fasta,prank,0.255281690140845
ENSG00000003056.fasta,tri-ecm,0.00033921302578019
ENSG00000003056.fasta,clustalo,0.140094979647218
ENSG00000003056.fasta,macse,0.0959972862957938
ENSG00000003056.fasta,mafft,0.140094979647218
ENSG00000003056.fasta,prank,0.0654681139755767
ENSG00000003137.fasta,tri-ecm,0.00123937677053824
ENSG00000003137.fasta,clustalo,0.000177053824362606
ENSG00000003137.fasta,macse,0.000177053824362606
ENSG00000003137.fasta,mafft,0.000177053824362606
ENSG00000003137.fasta,prank,0.000177053824362606
ENSG00000003402.fasta,tri-ecm,0.000167785234899329
ENSG00000003402.fasta,clustalo,0.000167785234899329
ENSG00000003402.fasta,macse,0.000167785234899329
ENSG00000003402.fasta,mafft,0.000167785234899329
ENSG00000003402.fasta,prank,0.000167785234899329
ENSG00000003436.fasta,tri-ecm,0.000268240343347639
ENSG00000003436.fasta,clustalo,0.00187768240343348
ENSG00000003436.fasta,macse,0.00187768240343348
ENSG00000003436.fasta,mafft,0.00187768240343348
ENSG00000003436.fasta,prank,0.00187768240343348
ENSG00000003509.fasta,tri-ecm,0.00222831676379842
ENSG00000003509.fasta,clustalo,0.00119986287281454
ENSG00000003509.fasta,macse,0.00531367843675009
ENSG00000003509.fasta,mafft,0.00119986287281454
ENSG00000003509.fasta,prank,0.0635927322591704
ENSG00000003756.fasta,tri-ecm,0.000100867460157353
ENSG00000003756.fasta,clustalo,0.00131127698204559
ENSG00000003756.fasta,macse,0.00110954206173089
ENSG00000003756.fasta,mafft,0.00131127698204559
ENSG00000003756.fasta,prank,0.00131127698204559
ENSG00000003987.fasta,tri-ecm,0.000125565042692115
ENSG00000003987.fasta,clustalo,0.00238573581115018
ENSG00000003987.fasta,macse,0.00163234555499749
ENSG00000003987.fasta,mafft,0.000125565042692115
ENSG00000003987.fasta,prank,0.83789552988448
ENSG00000004059.fasta,tri-ecm,0.0228426395939086
ENSG00000004059.fasta,clustalo,0.199492385786802
ENSG00000004059.fasta,macse,0.20761421319797
ENSG00000004059.fasta,mafft,0.160913705583756
ENSG00000004059.fasta,prank,0.00050761421319797
ENSG00000004139.fasta,tri-ecm,0.000751072961373391
ENSG00000004139.fasta,clustalo,0.000107296137339056
ENSG00000004139.fasta,macse,0.000107296137339056
ENSG00000004139.fasta,mafft,0.000107296137339056
ENSG00000004139.fasta,prank,0.000107296137339056
ENSG00000004142.fasta,tri-ecm,0.00138668779714739
ENSG00000004142.fasta,clustalo,0.000198098256735341
ENSG00000004142.fasta,macse,0.000198098256735341
ENSG00000004142.fasta,mafft,0.000198098256735341
ENSG00000004142.fasta,prank,0.000198098256735341
ENSG00000004468.fasta,tri-ecm,0.00544724770642202
ENSG00000004468.fasta,clustalo,0.0364105504587156
ENSG00000004468.fasta,macse,0.0346903669724771
ENSG00000004468.fasta,mafft,0.0346903669724771
ENSG00000004468.fasta,prank,0.00544724770642202
ENSG00000004487.fasta,tri-ecm,9.88924050632911e-05
ENSG00000004487.fasta,clustalo,9.88924050632911e-05
ENSG00000004487.fasta,macse,9.88924050632911e-05
ENSG00000004487.fasta,mafft,9.88924050632911e-05
ENSG00000004487.fasta,prank,9.88924050632911e-05
ENSG00000004776.fasta,tri-ecm,0.00278884462151394
ENSG00000004776.fasta,clustalo,0.00278884462151394
ENSG00000004776.fasta,macse,0.000398406374501992
ENSG00000004776.fasta,mafft,0.000398406374501992
ENSG00000004776.fasta,prank,0.000398406374501992
ENSG00000004779.fasta,tri-ecm,0.0078125
ENSG00000004779.fasta,clustalo,0.0078125
ENSG00000004779.fasta,macse,0.00287828947368421
ENSG00000004779.fasta,mafft,0.00534539473684211
ENSG00000004779.fasta,prank,0.00287828947368421
ENSG00000004799.fasta,tri-ecm,0.000201450443190975
ENSG00000004799.fasta,clustalo,0.000201450443190975
ENSG00000004799.fasta,macse,0.000201450443190975
ENSG00000004799.fasta,mafft,0.000201450443190975
ENSG00000004799.fasta,prank,0.000201450443190975
ENSG00000004809.fasta,tri-ecm,0.00253874933190807
ENSG00000004809.fasta,clustalo,0.00414216996258685
ENSG00000004809.fasta,macse,0.000935328701229289
ENSG00000004809.fasta,mafft,0.000133618385889898
ENSG00000004809.fasta,prank,0.000935328701229289
ENSG00000004838.fasta,tri-ecm,0.00245283018867925
ENSG00000004838.fasta,clustalo,0.00132075471698113
ENSG00000004838.fasta,macse,0.000188679245283019
ENSG00000004838.fasta,mafft,0.000188679245283019
ENSG00000004838.fasta,prank,0.000188679245283019
ENSG00000004864.fasta,tri-ecm,0.00157537566650509
ENSG00000004864.fasta,clustalo,0.0139360155113912
ENSG00000004864.fasta,macse,0.0129665535627727
ENSG00000004864.fasta,mafft,0.0139360155113912
ENSG00000004864.fasta,prank,0.000121182743577315
ENSG00000004961.fasta,tri-ecm,0.00404967602591793
ENSG00000004961.fasta,clustalo,0.175755939524838
ENSG00000004961.fasta,macse,0.149838012958963
ENSG00000004961.fasta,mafft,0.156857451403888
ENSG00000004961.fasta,prank,0.03914686825054
ENSG00000004975.fasta,tri-ecm,0.0018636263977198
ENSG00000004975.fasta,clustalo,0.0270773953080465
ENSG00000004975.fasta,macse,0.0237886428414821
ENSG00000004975.fasta,mafft,0.022692392019294
ENSG00000004975.fasta,prank,0.000109625082218812
ENSG00000005020.fasta,tri-ecm,0.000235294117647059
ENSG00000005020.fasta,clustalo,0.000235294117647059
ENSG00000005020.fasta,macse,0.000235294117647059
ENSG00000005020.fasta,mafft,0.000235294117647059
ENSG00000005020.fasta,prank,0.000235294117647059
ENSG00000005022.fasta,tri-ecm,0.0019564002235886
ENSG00000005022.fasta,clustalo,0.00698714365567356
ENSG00000005022.fasta,macse,0.0103409726103969
ENSG00000005022.fasta,mafft,0.00363331470095025
ENSG00000005022.fasta,prank,0.000279485746226942
ENSG00000005100.fasta,tri-ecm,0.000117096018735363
ENSG00000005100.fasta,clustalo,0.000117096018735363
ENSG00000005100.fasta,macse,0.000819672131147541
ENSG00000005100.fasta,mafft,0.000117096018735363
ENSG00000005100.fasta,prank,0.000819672131147541
ENSG00000005102.fasta,tri-ecm,0.000270855904658722
ENSG00000005102.fasta,clustalo,0.000270855904658722
